Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
e`\PF@@@KJnimlbbRfbTLVRbTlrTrUCBag`RQSSUUUUUTuMUU@@@	006678-00-8				3.620000000000000e+000	EXP			1.250000000000000e-014	EST	25	1.268000000000000e+000	25	446	
eghTFD@LAMKGO@b`@ahHrQQJIIIJZJjJEIID\TLCSGWUUUSSMSSPAH@@@	017942-66-4				1.680000000000000e+000	EXP			8.350000000000001e-017	EST	25	5.762000000000000e+001	25	446	
ek`PBL@AHdl`HcpHfbDfUvvYfY_]zFBnjfmch@JjiejjH@D@@@	022619-35-8				5.480000000000000e+000	EST		104						446	
e`PPB@@@DCKLbbTRbRbvrRRRTQRbccTEALUUUUUT@@@	026761-40-0				1.036000000000000e+001	EST		-45.6	5.276000000000002e-007	EXP	25	2.800000000000000e-001	25	446	
e`\PJH@CHaem`ICHhhdiDimCED\hYddqHIYxeeUTuUSUUUSMUSP@@	041767-29-7				2.950000000000000e+000	EST		195.1						446	
e`\PF@@@KJaeclbbRfbTLVRbTJbfvUCBag`RQSSUUUUUULuUU@@@	057524-89-7				3.790000000000000e+000	EXP		217-220	5.619999999999998e-015	EST	25	9.080000000000000e-001	25	446	
eo`RFH@MOBj`liemc`@aJYeUo^]e^[qCEKJ@@BBfZjfZ`@@@	058306-30-2				1.530000000000000e+000	EST		129.5						446	
e`RVB@@BFEGFe`LkolbbbbbbbRTQbZRrRwFae`STRPrsTsUUUSUUUUUP@@	059886-40-7				-7.700000000000000e-001	EXP			9.130000000000000e-018	EST	25	7.253000000000000e+004	25	446	
fek@R`HHdXCaQpXxQ\DnFRRIJZQRIHgRJPNZj`jjBbjh@@	060587-10-2				7.740000000000000e+000	EST			6.870000000000000e-004	EST	25	4.176000000000000e-006	25	446	
eo`PNH@HLFIJie`MCHeLieLeEEEEJlhXhlfnjZjjjjijijf@@@	081131-70-6				-2.300000000000000e-001	EXP			3.600000000000000e-023	EST	25	2.464000000000000e+003	25	446	
fgPp`LeHwh}gADFdKRCiCHhhddiiDkLhhjeLpPXpPQATASKTt@HY`	087714-68-9				4.540000000000000e+000	EXP			2.250000000000000e-009	EST	25	8.442000000000000e-002	25	446	
eodPJH@LJGJg`HcHeMHeHhhduEeiLmiCHlnackjZjjijjZjVZh@@	095796-51-3				3.300000000000000e+000	EXP			4.790000000000000e-011	EST	25	2.366000000000000e+000	25	446	
e`VXJ@@E`LIHbldTbdtRbbIbVLrRRUCBafgc`SWRvswuUUUUUUUUUUUU@@@	000076-45-9				2.290000000000000e+000	EST		221						447	
fle`c@MDTCDebIqLbbbtReTRVXHLXHHf`@`@@	000087-10-5				5.970000000000000e+000	EST		227						447	
f`aaa@FDtXEYrlrJJKQESILERuMMU@@@	000587-61-1				2.140000000000000e+000	EST		186				1.400000000000000e+002	15	447	
eohZN@@AEOBm`JKHjacldTTRRLtTtJTrbrbXxBRfVijjjjjjjjjj@@@	032385-11-8				-3.450000000000000e+000	EST								447	
fgap`LdKUoU{ADFdKRCiCHhhddiiDkLhibidpPXpPQATASKST@@@	077501-90-7				3.650000000000000e+000	EXP		65				6.000000000000000e-001	25	447	
e`PZB@@DJKBo`COMlbbTTRbbTUffRRtUWRsUUUMMAPTMT@@@	SRC002-67-6				6.500000000000000e-001	EXP								447	
fgap`LdKUoU{ADFdKRCiCHhhddiiDkLhibidpPXpPQATASKST@@@	SRC002-85-4				3.650000000000000e+000	EXP								447	
e`\XBH@EaJfi`ICHiEHhhhblXdicBddiyiXyDdUUUUSMUSTuUUP@@	SRC002-97-5				3.640000000000000e+000	EXP								447	
e`PZB@@DJCBo`MGMlbbTTRTRbafbQRtUWRsUUTtpUPTMT@@@	SRC002-99-8				9.800000000000000e-001	EXP								447	
e`\XBH@EaJfi`ICHiEHhhhblXdicBdhiyiXyDdUUUUSMUSTuUUP@@	SRC003-11-7				3.740000000000000e+000	EXP								447	
e`PZB@@DJCAe`MGNlbbTTRTRbfSbTRLrSwsUUTtuUTu@@@@@	SRC003-13-7				1.140000000000000e+000	EXP								447	
