Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
220.0538,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
222.8254,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
247.0648,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
250.02146,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
252.7882,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
254.8402,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
264.0369,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
266.0167,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
270.0698,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
274.0754,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
278.0164,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
306.048,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
335.9962,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
340.6187,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
342.02438,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
342.1924,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
