Mz,pains,,fsp3,cacao,,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
214.994,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
216.9897,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
224.0505,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
228.989,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
230.9862,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
231.94825,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
232.9845,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
236.9958,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
238.1454,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
240.989,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
250.6939,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
252.8157,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
252.99,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
254.98677,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
257.00198,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
257.8729,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
260.9788,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
260.995,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
272.9788,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
272.996,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
273.0163,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
277.0078,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
280.9848,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
296.90579,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
300.9915,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
301.00955,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
308.8937,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
320.9793,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
