Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
f`iQ@@NV@eMkZkKARU[u@DUSPp@@	214.26717	Harmaline; (3,4-Dihydroharmin)	LD50(rat) s.c.	120 mg/kg	MAO-A inhibitor			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://en.wikipedia.org/wiki/Harmaline	Origin: Peganum harmala; Banistera caapi	
fgAP@@@LrQQJEIITxJQk@QE@@@@@	182.2254	Harmane; (Passiflorine; Aribine; Loturine)	LD50(rabbit) s.c.<NL>LD50(mouse) i.p.	200 mg/kg<NL>50 mg/kg	MAO-A inhibitor			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Peganum harmala; Passiflora incarnata	
f`iQ@@NV@eMkZkKARU[u@DTA@@@@	212.25128	Harmine; (Banisterine; Telepathine; Yageine)	LD50(rat) s.c.<NL>LDLo(frog) s.c.<NL>LDLo(mouse) i.v.<NL>LDLo(cat) i.v.<NL>LDLo(guinea pig) s.c.	200 mg/kg<NL>300 mg/kg<NL>50 mg/kg<NL>10 mg/kg<NL>100 mg/kg	MAO inhibitor<NL>cytotoxic against HL60 and K562 cell lines			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>	Origin: Peganum harmala; Banistera caapi	
foQQ@@FF@drmjltxJQgMKTmST@@	198.2244	Harmol; (Oxoharman)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Passiflora incarnata	
ej}pC@@@D@X\VU]S_\r|bfdTRTQTTReVdrtfVtRbRRaTTrdLTl|rzFNnyECcZjjfjjjjjjjjjjjjjjjiKADHr^SJMHZ[RyHhe\hVRjuNhNQp@	750.963	alpha-Hederine; (Helixin)	LD50(mouse) p.o.<NL>LD50(mouse) i.p.	>4 g/kg<NL>1800 mg/kg	protective activity against H2O2 genotoxicity in HepG2 cells			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ingentaconnect.com/content/els/13835718/1999/00000445/<NL>00000001/art00117	Origin: Hedera helix	
elypO@@@DGAikodV^QU[Xt|bbRrbdRblrTfTQrTRbfRvbTTrhXTlBbJZvNqI]}ZejjjjjijjjjjjjjjjjRxPbTgdbVRZar^`LaVJITjuQl]Wj@@	724.7939	Hellebrin	LD50(cat) p.o.<NL>LDLo(guinea pig) i.v.<NL>LD50(rat) i.v.<NL>LD50(mouse) i.p.	0.1 mg/kg<NL>0.616 mg/kg<NL>21 mg/kg<NL>8.4 mg/kg	inhibits T cell activity<NL>inhibitor of Na pump			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.antikoerper-online.de/antibody/195435/Hellebrin+Helleb<NL>orus+niger/	Origin: Helleborus species	
ef]PI@@@DKNacgbZ\bbVTTbTUfRdrbNRbRbQEDag`VURvtJKTuUUUUTuUUUUUTXpnEIGHDdeUMe\`YCDT@@	534.6435	Helveticoside; (Strophanthidin-digitoxoside; Evisimine; Alleoside A)	LD50(cat) i.v.<NL>LDLo(monkey) i.v.<NL>LDLo(guinea pig) i.v.<NL>LDLo(pigeon) i.v.	0.0052 mg/kg<NL>0.103 mg/kg<NL>0.867 mg/kg<NL>0.285 mg/kg	inhibits Na+/K+-ATPase			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.wipo.int/pctdb/en/wo.jsp?IA=US2000002241&wo=2000044931<NL>&DISPLAY=DESC	Origin: Strophanthus spcies; Erysimum species	
ef]PI@@@DKNecgbZ\bbVTTbTUfRdtRqRbRbQEDag`VQTvtJKTuUUUUUUUUUUUTXpnEIGHDddUMe\`YCDT@@	536.65936	Helveticosol; (Strophanthidoldigitoxoside)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Strophanthus species	
dk\L@@STfUmWiiUjP@j@@	176.17052	Herniarin; (7-Methoxycumarin; Ayapamin)	LD50(rat) p.o.<NL>LD50(guniea pig) administration onto skin	4300 mg/kg<NL>>5 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Herniaria glabra L.; Herniaria hirusta L.; Lavandula angustifolia	
ff}ap@O@pIVgErQQQJIJXjEJTefmUUUUXADLaDPbhnRR@@	311.28897	Holocalin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Sambucus species	
ff}ap@O@pIVgErQQQJIJXjEJTefmUUUUXADLaDPbhnJR@@	311.28897	Zierin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Sambucus species	
ec`XF@@M@DAGIelbbTRbTRfbfvQRQCBgbUWPrvsTEAUEAPETQ@@@	383.39874	Hydrastine	LD50(rat) i.p.<NL>IC50(GABAA)	104 mg/kg<NL>2.3 mcM	antagonist	GABAA	GABA	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1917537	Origin: Hydrastis canadensis	
daDD@@yIe^f`@`@@	110.11164	Hydroquinone	LD50(rat) p.o.<NL>LDLo(hamster) p.o.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.p.<NL>LD50(rat) i.p.<NL>LD50(rat) i.v.<NL>LDLo(rat) s.c.	320 mg/kg<NL>29 mg/kg<NL>245 mg/kg<NL>100 mg/kg<NL>170 mg/kg<NL>115 mg/kg<NL>300 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Arctostaphylos uva-ursi; Vaccinium myrtillus<NL>mutagen; tumorigen	
deVH@JAIgf^ejjj`j@@	141.2131	Hygrine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Nicandra physaloides; Erythroxylum coca	
fj}a`@C@QiIefYYWg]DIXyZjhJhJbHfHQ\dX@	289.37363	L-Hyoscyamine; (Daturine; Levisine; L-Tropyl-tropat)	LD(Human adult) p.o.<NL>LDLo(man) unreported	>10 mg<NL>1471 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Atropa bella-donna; Datura stramonium; Hyoscyamus niger; Solanaceae species	
ef[PA@@@EKNclRZ\bbbbbbTRaabRRRffbZS@fdSfPQRUVpMtKrKP@DD@@ADDE@t@D@@@	504.44904	Hypericin; (Mycoporphyrine; Cyclosan)	IC50(sigma)	3-4 mcM	inhibitor	Dopamine-beta-hydroxylase<NL>NPY-Y1; NPY-Y2<NL>sigma		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://de.wikipedia.org/wiki/Hypericin<NL>http://cat.inist.fr/?aModele=aff<NL>icheN&cpsidt=1077215	Origin: Hypericum species	
ehRPC@@@BICGBaimco`\bbbbTRbfbJbRTraQXdlRjVznZdJbJ@jBjbjHhDWbrURV`@	464.3778	Hyperoside; (Hyperine)			antagonist	kappa	opioid	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2265593	Origin: Ledum palustre; Vaccinium uliginosum<NL>mutagen	
fn{Q@@IAAdbfRfTrTRRTkNRTxJ\iKP@TuUUUETPt]HiJ@@	310.43945	Ibogaine	LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LD50(guinea pig) i.p.	327 mg/kg<NL>145 mg/kg<NL>82 mg/kg	antagonist(alpha3beta4)<NL>agonist(5-HT2A)<NL>agonist(sigma2)	5-HT3; 5-HT2A<NL>kappa<NL>stratial dopamine terminals<NL>NMDA<NL>sigma2<NL>alpha3beta4	serotonin<NL>opioid<NL>dopamine<NL>nicotinic	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ingentaconnect.com/content/els/03619230/1995/00000036/<NL>00000006/art00250<NL>http://www.ibogaine.desk.nl/lit-nmda.html<NL>http://en.wikipedia.org/wiki/Ibogaine	Origin: Tabernanthe iboga	
eobXL@@F`GNlbbbTbRVTjTrTbvRXxTlL|RrZFNnZjjjjjjjjjjjLPQDXWBTVd|dTreRFar@@	429.64243	Imperialine; (Raddeamine; Sipeimine)	Ki(M2)<NL>Ki(M1)<NL>Ki(M3)	63.1 nM<NL>794 nM<NL>1995 nM	antagonist	M1; M2; M3; M4	muscarinic	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://grande.nal.usda.gov/ibids/index.php?mode2=detail&origin=ibids_refer<NL>ences&therow=201633	Origin: Fritillaria imperialis	
fbm@P@@HD[HhdihdiddYSbk^BuHPTUMP`@@	270.28317	Imperatorin; (Mamelosine; Ammidine)	LDLo(mouse) par.<NL>LD50(mouse) i.p.	600 mg/kg<NL>330 mg/kg	inhibits binding of [3H]diazepam to GABAA-benzodiazepine receptor komplex			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>Neurocrine Research, Vol. 59, Iss. 1, Sept. 2007, P. 18-22	Origin: Angelica archangelica; Heracleum sphondylium; Heracleum mantegazzianum; Apiaceae species	
foAP`@EN@aIem^YIPsfjjijd@@	208.26004	Isopilocarpine			agonist		Muscarinic cholinergic	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/3701611<NL>http://www.online-medical-di<NL>ctionary.org/Isopilocarpine.asp?q=Isopilocarpine	Origin: Pilocarpus jaborandi	
fj}Q`@KY@`RSK[OLkJR`RqruUUAHUDNLRbY@@	286.32993	Isopilosine; (Carpiline; Carpidine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Pilocarpus jaborandi	
egdTJ@@GH`DNEmdfVvUUvUuUTQPqqKHjhZYjZjjjfh@jj`HXPbTQb@@	412.4843	Isoreserpilin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rauvolfia and Vinca species	
eobXL@@E`OMlbbbbbTbTabJarrVhxTb\RJFjZNnZZjjjijjjjjjTpUBXWBDPTjcTFQt@@	425.61066	Jervine	LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LDLo(rat) p.o.<NL>LDLo(hamster) p.o.<NL>LD50(mouse) p.o.<NL>IC50(s12 cells)	9.3 mg/kg<NL>15 mg/kg<NL>240 mg/kg<NL>80 mg/kg<NL>260 mg/kg<NL>500-700 nM	inhibitor	Sonic hedgehog (Shh)		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.sigmaaldrich.com/sigma/general%20information/page9.pdf	Origin: Veratrum species	
dk\L@@x|bbbTTJZUuhFHF@@	174.15463	Juglone; (5-Hydroxy-1,4,-naphthochinone)	LD50(mouse) i.p.<NL>LDLo(dog) i.v.<NL>LD50(rat) p.o.<NL>IC50(HpCGS)<NL>IC50(HpFabD)<NL>IC50(HpFabZ)	25 mg/kg<NL>10 mg/kg<NL>112 mg/kg<NL>7.0 mcM<NL>20 mcM<NL>30 mcM	inhibitor of peptidyl-prolyl isomerase Pin1<NL>inhibitor (HpCGS; HpFabD; HpFabZ)	Pin1<NL>HpCGS; HpFabD; HpFabZ		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://nar.oxfordjournals.org/cgi/content/abstract/29/3/767<NL>ht<NL>tp://www.chinaphar.com/1671-4083/29/870.htm	Origin: Juglandaceae	
dklB@@QSrJYJIJF]ZX@b@cH	180.15852	caffeic acid	LDLo(rat) i.p.<NL>LD50(mouse) i.p.<NL>IC50(5-LO)<NL>IC50(12-LO)	1500 mg/kg<NL><721 mg/kg<NL>3.7-72 mcM<NL>5.1-30 mcM	inhibitor	5-LO; 12-LO	Lipoxygenase	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.caymanchem.com/app/template/Product.vm/catalog/70602	Origin: coffea arabica<NL>tumorigen; mutagen	
fluAP@@\dZJSLlsr{lxjtTm@qEETq@@@	260.2443	Khellin; (Visammine; Benecardine; Ammicardine)	LD50(rat) p.o.<NL>LD50(rat) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.v.	80 mg/kg<NL>34.4 mg/kg<NL>50.8 mg/kg<NL>30.6 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Ammi visnaga<NL>mutagen	
ek`PE@@@NIO@lfemclbbbTTRTNRLRbfRXdTlBbzFZAbJJfjjjhjaIEJj]HY@@	408.3578	Khellinin; (Khellol glucoside)	LD50(rat) p.o.<NL>LD50(mouse) intramuscular	1469 mg/kg<NL>178 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Ammi visnaga	
fbmAP@@HtgNQQJKJJJJEXcCV]yjZjiffjHRLgDJ@@	276.28705	Lactucin			antagonist	Nicotinic		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://cat.inist.fr/?aModele=afficheN&cpsidt=15165879	Origin: Lactuca virosa; other Lactuca species; Cichorium intybus L.	
eghPN@@@DMDljklbbTVTTTTJqTrbRqCAecgfqsTuUSMMM@AUAADXgBD`@	410.4207	Lactucopicrin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Lactuca virosa; Cichorium intybus L	
enSPA@@@DCGBklV\bbVTTbbbqfRtfVrTRTVHhdlBRZzvNQIZfjjjjfjjjjjjjiQa\JR^QIUKiGQzDp@	546.69824	Lanadoxin	LDLo(cat) i.v.	332 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Digitalis lanata	
gbIdAd@@@BBplNHlUKTZ]Ejpy]^`h\NQQKJJQJJsIRY[IQIQHjIJIEQIQKIQPjJYHaPdFO@SHTFSO`HUJcIgwyjZjjjjjjjjjjjjjjjjZjjjjjjFLEpTbNHDRQEELVqOI|`IDer`jReZTZIevVyGh~Wy@@	969.1234	Lanatoside A; (Digilanide A)	LDlo(cat) i.v.<NL>LD50(rat) i.v.<NL>LD50(mouse) i.p.<NL>LD50(mouse) p.o.	220 mcg/kg<NL>16 mg/kg<NL>20 mg/kg<NL>9.34 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Digitalis lanata	
gjMd@T@@@B@pxvWLQIdZm^jsZ]n_H\IGHheeEHhhgLeIeleDeDbhdhdUDeDleEBhidbEBQXBQBeRXlAPiRiMf@VijjjjjjjjjjjjjjjjjZjjjjjjVLEpPbRIxdQYETRqGI|`JPiR`jRhjciQhffYCd^Uz_dAP@	985.12244	Lanatoside B; (Digilanide B)	LDLo(rat) i.v.<NL>LDLo(guinea pig) i.v.<NL>LD50(rat) i.v.	12 mg/kg<NL>3.695 mg/kg<NL>388 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Digitalis Lanata	
gjMd@T@@@BBqxvWLQIdZm^jsZ]n_H\IGHheeEHeEKBeIeleDeDbhdhdUDeDleEBhidbEBPXBQBeRXlAPiRiMf@VijjjjjjjjjjjjjjjjjZjjjjjjVLEpTbJDxdQYETRqGE|`JPeRPjRhjSiQhffYCd^Uz_dAP@	985.12244	Lanatoside C; (Digilanide C)	LD50(cat) i.v.<NL>LD50(mouse) i.p.<NL>LD50(guinea pig) p.o.<NL>LDLo(guinea pig) i.v.<NL>LDLo(rat) i.p.	0.23-0.28 mg/kg<NL>100 mg/kg<NL>502 mcg/kg<NL>10 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Digitalis lanata	
feg`P@C@iT^RJZIIYQIFIJY[dcNJv``bjj@HjH`h`@	357.4484	DL-Laudanosine	IC50(mu1)<NL>IC50(mu2)<NL>IC50(delta)<NL>IC50(kappa1)<NL>IC50(kappa3)<NL>IC50(GABA)	2.7 mcM<NL>13 mcM<NL>5.5 mcM<NL>21 mcM<NL>24 mcM<NL>10 mcM	antagonist (Opioid)<NL>inhibitor (GABA)	delta; mu; kappa<NL>GABA	Opioid<NL>GABA	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/8069669	Origin: Papaver rhodeas; Papaver somniferum	
dk\L@@KTfYmUXUMjP`R@@	174.15463	Lawsone	LD50(mouse) i.p.	100 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTCES	Origin: Lasonia inermis L.; Lawsonia alba Lam.<NL>mutagen	
f`iA@@@IMKsJwqTeZMUUUUUTrDhfSbTmP@	222.37044	Ledol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Ledum palustre; Ledum species	
deT@@DjWvifjijFh@	136.23705	Limonene	LD50(rat) p.o.<NL>LD50(rat) dermal.	5.3 g/kg<NL>5 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: citrus species	
deT@@DjWvifjijFP@	136.23705	(-)-Limonene						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: citrus species	
fi{``@I@SdTTRRbtVeTtRPmN}t]PPTUUT@AAHIdLhp@	339.47726	Lobelanidine	LD50(mouse) i.v.	18 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Lobelia inflata	
fi{``@I@SdTTRRbtVeTtRPmN}t[PPTUUL@ABFHt@@	335.4455	Lobelanine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Lobelia inflata	
fi{``@I@SdTTRRbtVeTtRPmN}t[PPTUUT@AFFHtc@@	337.46136	alpha-Lobeline	LD50(mouse) i.v.<NL>LD50(rabbit) s.c.<NL>LD50(mouse) i.p.	6.3 mg/kg<NL>35 mg/kg<NL>43.5 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Lobelia inflata	
ek`XF@@C@BDjamlbbbbtJbbRbTrcVhxxd|bJfZfij`jAjJjcCB\IR@@	399.4415	beta-Lumicolchicine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Colchicum autumnale; Gloriosa superba	
ek`XF@@C@BDjamlbbbbtJbbRbTrcVhxxd|bJfZfij`jAjJjcCA\QR@@	399.4415	gamma-Lumicolchicine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Colchicum autumnale, Gloriosa superba	
fduQ@@DV@dsKO[jlEKQkAbuUUUUUTPdyIHt@@	248.36856	(+)-Lupanin	LD50(rat) i.p.<NL>LD50(rat) p.o.<NL>LDLo(guinea pig) i.p.	177 mg/kg<NL>1644 mg/kg<NL>22 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS		
eolPH@@@LbbdRebTLRdJttTLxDLlbRZzfNjjjjjjjjjfjiRADPQJJr^QIUKjCH@	426.726	Lupeol	LD50(rat) p.o.<NL>LD50(mouse) p.o.	>2 g/kg<NL>>2 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Lupinus species	
dcnH@JCHeEDhcpkmUUUTbSD@	169.26686	Lupinine	LDLo(guinea pig) i.p.	28 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Lupinus species; Anabis aphylla L.	
fjs`P@K@hyJTrnkKKsbgAFlGLRtDAUUUUDqIKRLoP@	287.31396	Lycorine; (Amarylline; Belamarine; Narcissine; Galanthidine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Amaryllis belladonna; Clivia mininata; Galanthus nivalis; Leucojum vernum; Narcissus pseudonarcissus	
fa{q@@DZjCHhhhddXeEhmEjt\e[WkUUSUADPtRLJr@@	323.4385	Lysergic acid diethylamide; (LSD; Lysergid)	LD50(mouse) i.v.<NL>LD50(rat) i.v.<NL>LD50(rabbit) i.v.<NL>LD50(guinea pig) s.c.	50-60 mg/kg<NL>16.5 mg/kg<NL>0.3 mg/kg<NL>16 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	mutagen	
fegaPBL`ixl|sOldTtVbTRTTQabGIVR{LZtDDPUATUEDKH@	359.4205	Magnoflorine; (Thalictrine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Actea spicata; Aristolochia clematis; Bereris vulgaris; Clatha palustris; Hepatica nobilis	
dg\F@@I]NtfYy[fEjVif`@	198.12964	Meconic acid						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Opium<NL>keto-enol tautomerisation	
dmtH@@RYeeZZjjjrDdY@@	156.2678	Menthol	LD50(rat) p.o.<NL>LD50(cat) p.o.<NL>LD50(mouse) s.c.<NL>LD50(rat) s.c.<NL>LD50(mouse) i.p.<NL>LD50(rat) i.p.	3180 mg/kg<NL>900 mg/kg<NL>5500 mg/kg<NL>1750 mg/kg<NL>2000 mg/kg<NL>1500 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Mentha piperita; Mentha species	
ek\xM@@O`DMHlnk`XU]\bbTTRTbbLtVRTTLRTQbRSVTBl|\RjfVNqIqEZ`hJjJjjjfjjjjhjj|HgDDQd\gdRaRjTrVftNVJEP@	631.7163	Mesaconitine	LD50(mouse) p.o.<NL>LD50(mouse) s.c.<NL>LDLo(cat) p.o.<NL>LDLo(rabbit)<NL>LD50(mouse) i.p. 	1900 mcg/kg<NL>204 mcg/kg<NL>80 mcg/kg<NL>100 mcg/kg<NL>213 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Aconitum napellus; Aconitum species	
do~L@GBnrQSQQIGHUhHbJh@@	211.25998	Mescaline; (TMPFA)	LD50(mouse) i.p.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.v.<NL>LD50(rat) i.v.<NL>LD50(rat) s.c.	315 mg/kg<NL>880 mg/kg<NL>157 mg/kg<NL>157 mg/kg<NL>534 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Lophohpora williamsii; Trichoereus pachanoi<NL>Reproductive-Effector	
foQQ@@DVAdTTRbLRKNRtZsUKUUUHEIP@	204.27203	N-Methylcytisine; (Caulophylline)	LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LD50(mouse) p.o.	21 mg/kg<NL>51 mg/kg<NL>>500 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Caulophyllum thalictroides; Laburnum anagyroides	
e`~pE@@@FICKONamb\bbbdlVdTfrTtbUbRRbb^RTRQ@acc`QPuRwRtKKokSUUUUUUUPTCLLp@UU@YaNDIEEhgHEHieBiTed`sBp	654.7097	Mezerein						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Daphne species<NL>Mutagen; Tumorigen	
