Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
fns@`@@FrQQRJIFIHkKJdeVCF`jHhjZjbQRR`@	314.4672	delta9-Tetrahydrocanabinole; (THC)	LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LD50(rat) i.v.<NL>LD50(monkey) i.v.<NL>LD(monkey) p.o.	666 mg/kg<NL>482 mg/kg<NL>29 mg/kg<NL>125 mg/kg<NL>>3150 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Cannabis sativa<NL>Tumorigen; Mutagen; Reproductive-effector	
fgAP@@@LrQQJEIITxJQkUUM@DDHT@@	186.25716	Tetrahydroharmane; (DL-Eleagnine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Leptacina densiflora; Eleagnus angustifolia L.	
fn{a`@J`xkIEEEDhhdddobLexrPyKV`jBZbjjakBHqY`@	311.37973	Thebaine; (Paramorphine)	LD50(rabbit) s.c.<NL>LD50(mouse) s.c.<NL>LD50(mouse) i.p.<NL>LD50(rat) p.o.<NL>LD50(mouse) p.o.	14 mg/kg<NL>31 mg/kg<NL>20 mg/kg<NL>114 mg/kg<NL>54 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Papaver somniferum	
dk\d@DsmB\bbbTrQXUujjUj`@	180.16652	Theobromine	LD50(cat) p.o.<NL>LD50(mouse) s.c.<NL>LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LDLo(rabbit) s.c.<NL>TDLo(human) p.o.<NL>LD50(dog) p.o.	200 mg/kg<NL>530 mg/kg<NL>1265 mg/kg<NL>837 mg/kg<NL>1 g/kg<NL>26 mg/kg<NL>300 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Theobroma cacao; Camellia sinensis<NL>Tumorigen; Mutagen; Reproductive-effector	
dk\d@Dq]@\bbbbfJZ]MjjZe`@	180.16652	Theophylline; (Theocine)	LDLo(rat) i.v.<NL>LD50(rabit) p.o.<NL>LD50(mouse) s.c.<NL>LD50(mouse) p.o.<NL>LDLo(rat) s.c.<NL>LDLo(guinea pig) s.c.<NL>LD50(rabbit) i.v.<NL>LD50(mouse) i.v.<NL>LD50(rat) p.o.<NL>LD50(guinea pig) p.o<NL>.<NL>LD50(rat) i.p.	240 mg/kg<NL>350 mg/kg<NL>138 mg/kg<NL>235 mg/kg<NL>325 mg/kg<NL>170 mg/kg<NL>150 mg/kg<NL>136 mg/kg<NL>225 mg/kg<NL>183 mg/kg<NL>150 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Camellia sinensis<NL>Tumorigen; Mutagen; Reproductive-effector	
gcvD@d@@@BBplN_LQKdj]^`rZmNW[lbbVTTbTUfRdrvRbTTrrtRbfRJbTTrQBaHL^@fPhLf@hVhtv{MSUUUUUUUUUUUUUUUUUUUUWQ`nBdQq@bRHhibvRxgbAJDfREJUMRMJLlrKQlnr@@	858.968	Thevetine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Thevetia neriifolia	
dmLH@@RYe~IfyjjjkDaIh@	152.23604	alpha-Thujon	LD50(mouse) s.c.<NL>LD50(rat) p.o.	87.5 mg/kg<NL>500 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Artemisia absinthium; Chrysanthemum vulgare; Thuja species<NL>Tumorigen	
dclH@@rJJISFDs\uUUUXdJL`@	166.26292	beta-Thujone	LD50(mouse) s.c.	442.4 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Artemisia absinthium; Chrysanthemum vulgare; Thuja species	
dmLH@@RYe~IfzjjjkHaId@	154.25192	Thujyl alcohol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Chrysanthemum vulgare	
dmtH@@RYeY[hBBh@@	150.22015	Thymol	LD50(rat) p.o.<NL>LDLo(rabbit) p.o.<NL>LDLo(cat) p.o.<NL>LDLo(rabbit) s.c.<NL>LDLo(frog) s.c.	980 mg/kg<NL>100 mg/kg<NL>100 mg/kg<NL>1 g/kg<NL>75 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Mutagen; Primary-irritant	
