compound,mw,,hba,,hbd,,rotb,,arom,,psa,,logp,,,,,
117,494.5072,494.013,5.498735,5,3.5116844,3,3.5049305,8,2.4968178,2,102.783066,113.6,4.146591,3.6417,,,,
118,254.76088,254.245999,5.4914055,5,2.5011153,2,2.5008428,3,2.4994075,2,79.32557,102.28,-1.7101241,-2.2131,,,,
119,426.41943,425.92,3.4977918,3,2.4983847,2,2.5047467,5,2.5077903,4,79.320694,78.82,3.856753,3.3532,,,,
121,248.80571,248.307,4.501018,4,2.4969037,2,2.5023468,2,2.498501,2,123.130684,122.6299999999,2.186279,1.8907,,,,
122,327.34412,326.831,3.4959629,3,1.4883226,1,1.4849429,0,1.4980569,2,86.67962,86.18,4.2279415,1.6838,,,,
123,269.23938,268.744,3.4982202,3,1.4880905,1,1.5048052,4,1.4885775,1,42.073536,30.87,1.9058557,3.7227,,,,
124,356.9899,356.491,4.476763,4,2.497144,2,2.4944077,7,3.4913623,3,53.069366,41.57,4.164937,1.402,,,,
125,379.9338,379.435,6.48561,3,1.5106895,1,1.5104483,6,3.5028906,3,58.59084,52.57,4.180883,3.6607,,,,
126,399.93887,399.443,6.514619,6,1.5217556,1,1.5044132,5,2.504531,2,83.592865,83.09,3.3769286,2.8716,,,,
127,351.90686,351.409,5.4986835,5,2.4988403,2,2.4978626,2,2.5023994,2,100.102356,99.6,2.453217,1.95092,,,,
128,249.21785,248.717,4.486651,4,2.4920316,2,2.500388,2,2.491358,2,78.315895,77.82,3.0287917,2.5238,,,,
129,362.32736,361.825,4.497075,4,2.4980268,2,2.4924457,7,2.5099802,2,76.131,75.63,4.0568295,3.5545,,,,
130,531.93445,531.44,4.497075,6,0.50207096,0,0.50185347,7,3.5053723,3,69.56508,69.06,4.710264,4.2058,,,,
131,589.0641,588.562,13.508981,13,3.5003057,3,3.5046098,5,2.5083926,2,161.32799,160.83,1.8418134,1.3386,,,,
132,611.0693,610.565,15.493852,15,8.504507,8,8.512381,7,2.5043726,2,234.79985,234.2899999,-0.6515208,-1.156,,,,
133,290.94788,290.447,2.5104125,2,1.4972712,1,1.5059147,0,0.5073348,0,37.80688,37.3,4.4619856,3.9591,,,,
134,244.8086,244.316,4.495802,4,3.4883556,3,3.5049188,2,0.5023209,0,78.92575,78.43,1.3011537,0.7968,,,,
135,346.96896,346.467,4.4952564,4,2.5018475,2,2.4951122,2,0.4933673,0,75.08932,74.6,3.169634,2.6667,,,,
136,230.76833,230.263,3.4995983,3,1.4978338,1,1.4917642,3,2.5103548,2,47.026634,46.53,3.5415382,3.0365,,,,
137,232.78156,232.283,2.489855,2,2.4963052,0,2.4999266,4,2.5013266,2,54.61888,54.12,2.358395,1.8551,,,,
138,223.79192,223.296,2.497975,2,0.50065106,0,0.50829226,2,1.50227,1,30.038618,29.54,2.4466944,1.9437,,,,
139,314.969,314.469,2.505141,2,0.4928118,0,0.49897635,1,0.5004801,0,34.638023,34.14,5.2267027,4.7235,,,,
140,345.9262,345.424,5.5022035,5,1.5008343,1,1.487096,5,3.511953,3,77.61,77.1,3.4048338,2.89974,,,,
141,170.74495,170.237,2.500039,2,2.499608,2,2.4976146,2,1.5004109,1,49.151905,48.65,1.8870678,1.38499,,,,
142,282.83475,282.3359999,5.500814,5,0.4994944,0,0.5006879,0,0.49894008,0,54.49067,53.99,2.8957164,2.3949,,,,
143,821.63617,821.141,9.507213,9,8.498021,8,8.503264,12,1.4925054,1,200.38544,199.89,-1.1241475,-1.6274999,,,,
144,123.62049,123.115,3.5091283,3,1.5029346,1,1.5030859,1,1.4975369,1,69.371445,68.87,0.079011224,-0.4245,,,,
145,405.0459,404.547,5.4965415,5,1.5021846,1,1.4943289,6,0.49997255,0,73.32964,72.83,4.698689,4.1955,,,,
146,431.0472,430.541,6.500286,6,2.5071695,2,2.4972203,4,0.49305007,0,93.55917,93.06,3.2194986,2.7168,,,,
147,236.7741,236.273,1.5104536,1,1.4961344,1,1.5010909,0,2.498525,2,46.838215,46.33,3.8898442,3.3872,,,,
148,398.89813,398.4,6.5000296,6,3.5178483,3,3.4891224,6,3.506842,3,141.80907,141.31,4.20584,3.7016,,,,
149,823.44696,822.95299,14.499383,14,6.4954987,6,6.4947586,4,2.499639,2,220.64742,220.149999999,4.837611,4.33542,,,,
150,337.8791,337.38,5.5004673,5,2.5032487,2,2.5049813,2,2.4984188,2,100.098526,99.6,2.1448004,1.6425,,,,
151,179.72699,179.2189999999,2.4983523,2,1.4876747,1,1.4980124,3,1.4990139,1,38.829075,38.33,2.546682,2.0437,,,,
152,241.78705,241.29,3.502415,3,2.493657,2,2.519511,3,2.5045404,2,49.824795,49.33,4.250225,3.74524,,,,
153,341.91922,341.433,5.502587,5,2.5045342,2,2.4965034,6,1.502796,1,102.23559,101.73,1.0612723,0.5567,,,,
154,521.93915,521.437,6.4864798,6,1.495918,1,1.4993889,4,1.4937743,1,94.30866,93.81,5.371783,4.8692,,,,
155,441.90686,441.404,11.499124,11,6.5050473,6,6.4945965,9,3.507617,3,213.77592,213.28,0.46004894,-0.044799999,,,,
156,435.00635,434.504,6.504216,6,2.5108974,2,2.4940083,2,0.495821,0,93.55385,93.06,2.7774272,2.2747,,,,
157,491.1154,490.626,5.5081367,5,3.5055919,3,3.4934947,7,1.5148693,1,125.09617,124.6,3.5785704,3.074,,,,
158,215.71564,215.216,5.4921913,5,2.5003333,2,2.5067194,3,3.5028002,3,80.1206,79.63,2.060882,1.5579999,,,,
159,416.64117,416.135,2.5023181,2,0.4905138,0,0.49793857,6,3.5015361,3,27.550764,27.05,6.957174,6.4548,,,,
160,312.96808,312.453,2.4949613,2,0.49748394,0,0.5118175,1,0.5200057,0,34.615707,34.14,5.003585,4.4995,,,,
161,165.69135,165.191999,3.5022614,3,1.4981307,1,1.4996357,2,1.500642,1,52.820953,52.32,1.9468039,1.4455,,,,
162,373.04517,372.553,2.5024972,2,2.5018191,2,2.5138247,1,0.5006297,0,58.718315,58.2,4.3195744,3.8145,,,,
163,280.8164,280.308999999,6.502556,6,2.4946525,2,2.5015833,4,2.4984288,2,107.70382,107.2,1.3714267,0.8682,,,,
164,310.83038,310.335,7.5066276,2,2.487747,0,2.4930828,5,2.5011523,2,116.93026,116.43,1.3804263,0.8768,,,,
165,172.71118,172.2089999999,3.4990513,3,2.5045383,2,2.497352,1,1.4977461,1,86.68448,86.18,0.41837648,-0.0838,,,,
166,410.96484,410.457,5.5000515,5,3.5018103,3,3.4943187,2,0.4889939,0,95.32107,94.83,2.3472092,1.8437,,,,
167,343.9733,343.471,4.488189,4,1.5004952,1,1.5031481,10,2.504416,2,54.966522,54.46,3.9881604,3.4853,,,,
168,249.79854,249.295,4.4951925,4,2.4968061,2,2.4998646,3,2.4977734,2,85.586136,85.08,1.9670857,1.4646,,,,
169,358.93744,358.434,5.5023394,5,2.4985461,2,2.5007353,2,0.4979006,0,92.169075,91.67,2.2688463,1.7658,,,,
171,281.84753,281.352,4.501913,4,2.489356,2,2.4961276,3,0.49382803,0,83.9638,83.47,1.5458038,1.0415,,,,
172,171.65953,171.15599999,4.5043993,4,1.4886723,1,1.5039078,3,1.4978826,1,81.69828,81.19,0.59475464,0.0920199999,,,,
173,420.93692,420.434,8.496834,8,4.5051975,4,4.498736,4,4.502691,0,197.9007,197.4,-2.6726537,-3.175599999,,,,
174,135.36963,261.088999,4.034391,4,2.5253358,1,2.4621491,5,2.051129,0,22.409315,41.57,2.961365,1.884,,,,
175,255.72917,255.2339,7.4958167,7,4.5004835,4,4.496988,2,2.4996355,0,139.78133,139.28,-1.4687301,-1.97089999,,,,
176,837.55817,837.058,16.50042,16,5.5213265,5,5.4968333,13,0.5011737,0,217.38847,216.89,2.7143128,2.2096,,,,
177,225.70769,225.208,6.5006695,6,3.498487,3,3.5048954,4,2.498891,2,119.544464,119.05,-0.82883656,-1.3318,,,,
178,171.74344,171.2399999,3.5051107,3,2.5033731,2,2.4980924,3,0.49468452,0,63.82306,63.3199999999,1.8729763,1.37,,,,
179,419.07785,418.574,5.4995933,5,1.5033649,1,1.5078655,6,0.48922414,0,73.33747,72.83,5.089736,4.5856,,,,
180,151.66446,151.16,2.4971032,2,2.497618,2,2.5054407,1,1.5014129,1,49.828552,49.33,1.8552439,1.3506,,,,
181,231.1718,230.676,3.495734,3,1.5070436,1,1.5008055,0,1.4987197,1,59.023792,58.53,2.3756778,1.8726,,,,
182,286.7446,286.239,6.496665,6,4.5032096,4,4.5068407,1,3.5001838,3,111.63146,111.13,2.7854712,2.2824,,,,
183,180.67126,180.1669999999,3.4990451,3,1.4938151,1,1.4981314,0,2.5012753,2,73.18833,72.68,-0.53620434,-1.0397,,,,
184,609.1868,608.688,10.509946,10,1.5020351,1,1.5001155,8,3.5069845,3,118.28348,117.78,4.6746483,4.1711,,,,
185,231.78835,231.299,2.4966989,2,0.49274683,0,0.4944191,2,2.5024235,2,30.677898,30.17,2.0537121,1.55042,,,,
186,183.14632,182.651,2.5010014,2,1.4940157,1,1.4988446,3,0.50154847,0,52.82822,52.32,-2.705357,-3.2081,,,,
187,123.60364,123.11099999,3.4970198,3,1.508207,1,1.4923342,1,1.4979948,1,50.69139,50.19,1.2840718,0.77979999,,,,
188,194.74298,194.23,3.4928405,3,1.5065026,1,1.4883285,4,1.4911335,1,47.037823,46.53,2.8535402,2.3491,,,,
189,173.70992,173.21199999,3.499801,3,2.4959378,2,2.4965312,4,0.49240085,0,66.903114,66.4,1.1239257,0.6218,,,,
190,248.81847,248.326,3.5034137,3,3.5043519,3,3.4976182,6,2.5059888,2,57.784286,57.28,2.4089792,1.9056,,,,
191,226.78156,226.279,3.5014615,3,0.50033283,0,0.49755397,3,2.4987078,2,43.350277,42.85,3.1387084,2.6371,,,,
192,360.84647,360.366,7.5082755,7,1.4820476,1,1.5051256,5,1.4936457,1,108.27267,107.77,3.0709698,2.5657,,,,
193,96.5887,96.089,2.500709,2,1.5001944,1,1.500096,0,1.5015807,1,46.248386,2.5657,0.27254844,-0.2301,,,,
194,129.5934,129.094,3.4963639,3,2.4958942,2,2.4959593,0,1.5063577,1,72.26692,71.77,-0.0053052176,-0.5088,,,,
195,416.0745,415.574,5.502448,5,4.511066,4,4.4921875,16,2.4970436,2,82.45096,81.95,4.6099634,4.1074,,,,
196,203.78752,203.28499999,1.5003887,1,0.4993557,0,0.50647074,3,1.5223577,1,20.804943,20.31,3.42872,2.92402,,,,
197,131.67671,131.175,3.497352,3,2.5030735,2,2.5082767,5,0.4968516,0,63.81662,2.92402,1.0926963,0.5901,,,,
198,274.9019,274.4,2.4983222,2,1.4987675,1,1.5088375,0,0.5019141,0,37.794956,37.3,3.9917603,3.4891,,,,
199,445.01862,444.515,5.4983444,5,2.5024328,2,2.5029547,2,0.5017063,0,75.09864,74.6,3.972235,3.4691,,,,
200,392.96277,392.467,5.4919705,5,3.5062454,3,3.4890857,2,0.5081426,0,95.330826,94.83,2.3987663,1.8957,,,,
201,310.92587,310.437,2.5021944,2,1.4943724,1,1.496628,1,0.49870017,0,37.791447,37.3,4.161628,3.6586,,,,
202,228.74083,228.24,3.5010676,3,3.4958606,3,3.501781,2,2.5013578,2,61.185482,60.69,3.4749143,2.9738,,,,
203,394.94128,394.439,6.497037,6,4.5070467,4,4.492874,2,0.50132877,0,115.55125,115.06,1.1232715,0.6205,,,,
204,460.92484,460.439,10.499038,10,7.4953537,7,7.5017424,2,1.5045923,1,202.3555,201.84999999,-0.7385692,-1.24359999,,,,
205,368.88705,368.385,6.4982023,6,2.5020578,2,2.50607,8,2.5049021,2,93.55945,93.06,3.87245,3.3699,,,,
206,424.90802,424.402,10.493354,10,3.486748,3,3.5006719,0,0.50405896,0,149.3252,148.82,-0.866423,-1.3695,,,,
207,581.5682,581.069,8.50741,8,2.4946988,2,2.4962943,11,5.5104327,5,106.855446,106.35,6.644107,6.1391,,,,
208,320.84012,320.341,6.4941254,6,2.5038702,2,2.505,6,1.4919823,1,93.560776,93.06,3.2365484,2.73322,,,,
209,387.036,386.532,4.495207,4,0.5030981,0,0.504662,2,0.507523,0,60.942993,60.44,5.158087,4.6552,,,,
210,303.89316,303.4,4.490297,4,2.4944978,2,2.4920182,2,0.50286627,0,76.85318,76.36,1.67723,1.174279999,,,,
211,585.1573,584.659,12.524254,12,8.492611,8,8.511221,4,0.5062499,0,207.10887,206.6,-1.0109919,-1.515,,,,
212,418.05737,417.546,5.4951706,12,1.5141549,8,1.5108296,14,2.5059268,2,78.118324,77.62,6.1284795,5.623,,,,
213,418.04752,417.546,5.5114217,5,1.5043654,1,1.4884659,14,2.5019243,2,78.12228,77.62,6.126353,5.623,,,,
214,216.71188,216.1919999999,4.502639,4,0.50974476,0,0.4884105,1,3.5010211,3,53.085644,52.58,3.051337,2.5478,,,,
215,481.13696,480.649,6.503652,6,1.5007098,1,1.4950874,7,2.4956205,2,52.688892,52.19,5.4474893,4.9434,,,,
