molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
,,242.1622,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,243.1741,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,244.1767,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,246.1406,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,247.1471,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,249.1642,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,251.1426,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,251.1787,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,253.1584,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,255.1728,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,264.1504,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,265.1581,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,265.194,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,266.1622,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,269.1892,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,275.1781,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,276.183,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,283.1687,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,283.2049,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,293.1901,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,294.1937,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,311.201,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,312.2042,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,313.207,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,103.223,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
