Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
283.0008,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
287.9623,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
289.5144,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
303.9574,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
313.9647,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
313.975,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
317.959,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
317.969,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
329.96,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
330.96792,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
336.43917,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
348.9341,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
358.9987,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
365.93624,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
366.94448,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
371.0846,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
401.6065,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
